year,affiliation,paper_count,region,country
2021,Netflix,5,United States,United States
2021,New College of Florida,2,United States,United States
2021,New Jersey Institute of Technology,4,United States,United States
2021,New York University,66,United States,United States
2021,Newcastle University,2,Europe,United Kingdom
2021,North Carolina State University,6,United States,United States
2021,Northeastern University,23,China,China
2021,Northwest Polytechnical University Xi'an,3,China,China
2021,Northwestern University,16,United States,United States
2021,Norwegian School of Economics and Business Administration,1,Europe,Norway
2021,Noselab,1,Other/Unknown,Unknown
2021,Nova Southeastern University,1,United States,United States
2021,Novo Nordisk,1,Other/Unknown,Unknown
2021,OmniML,1,Other/Unknown,Unknown
2021,Open University of Israel,1,Middle East & Africa,Israel
2021,OpenAI,20,United States,United States
2021,Optimizely,2,United States,United States
2021,Optum AI,1,Other/Unknown,Unknown
2021,Orange-labs,1,Other/Unknown,Unknown
2021,Oregon State University,3,United States,United States
2021,Osaka University,5,Asia-Pacific (excl. China),Japan
2021,Otto-von-Guericke Universität Magdeburg,1,Europe,Germany
2021,Owkin,1,Other/Unknown,Unknown
2021,PAL Robotics,1,Other/Unknown,Unknown
2021,Pakistan Institute of Engineering and Applied Sciences (PIEAS),1,Asia-Pacific (excl. China),Pakistan
2021,Palona AI,1,Other/Unknown,Unknown
2021,Parameter Lab,1,Other/Unknown,Unknown
2021,Parametrix.ai,1,Other/Unknown,Unknown
2021,Peking University,82,China,China
2021,Pennsylvania State University,15,United States,United States
2021,PhiGent Robotics,1,Other/Unknown,Unknown
2021,"Pinterest, Inc.",1,Other/Unknown,Unknown
2021,Pohang University of Science & Technology,6,Asia-Pacific (excl. China),South Korea
2021,Pohang University of Science and Technology,1,Other/Unknown,"Korea, Republic of"
2021,Point72,1,Other/Unknown,Unknown
2021,Pokee.AI,2,Other/Unknown,Unknown
2021,Politecnico di Milano,5,Europe,Italy
2021,Politecnico di Torino,1,Europe,Italy
2021,Polytechnic Institute of Milan,3,Europe,Italy
2021,Polytechnique Montréal,4,Canada,Canada
2021,Pomona College,1,United States,United States
2021,Pontificia Universidad Catolica de Chile,2,Latin America,Chile
